row,block,plot,treatment,S,Snative,Bromus.diandrus.dominant,year,years.raked,winter_total_ry,winter_mean_ry,fall_total_ry,fall_mean_ry,total_rain_ry,prior_winter_total_ry,prior_winter_mean_ry,prior_fall_total_ry,prior_fall_mean_ry,prior_total_rain_ry
a,1,u,c,8,4,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,1,l,u,8,4,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,2,u,u,5,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,2,l,c,5,2,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,3,u,c,4,2,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,3,l,u,4,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,4,u,u,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,4,l,c,3,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,5,u,c,5,2,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,5,l,u,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,6,u,u,4,2,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,6,l,c,4,2,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,7,u,c,3,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,7,l,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,8,u,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,8,l,c,3,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,9,u,c,3,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,9,l,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,10,u,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
a,10,l,c,3,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,1,u,u,5,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,1,l,c,5,3,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,2,u,c,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,2,l,u,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,3,u,u,4,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,3,l,c,5,2,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,4,u,c,3,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,4,l,u,3,0,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,5,u,u,4,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,5,l,c,5,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,6,u,c,3,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,6,l,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,7,u,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,7,l,c,4,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,8,u,c,5,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,8,l,u,4,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,9,u,u,2,0,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,9,l,c,2,0,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,10,u,c,4,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,10,l,u,4,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,1,u,c,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,1,l,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,2,u,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,2,l,c,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,3,u,c,5,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,3,l,u,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,4,u,u,3,0,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,4,l,c,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,5,u,c,3,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,5,l,u,2,0,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,6,u,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,6,l,c,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,7,u,c,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,7,l,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,8,u,u,4,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,8,l,c,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,9,u,c,5,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,9,l,u,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,10,u,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
c,10,l,c,3,0,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,1,u,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,1,l,c,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,2,u,c,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,2,l,u,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,3,u,u,4,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,3,l,c,2,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,4,u,c,5,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,4,l,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,5,u,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,5,l,c,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,6,u,c,3,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,6,l,u,7,4,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,7,u,u,5,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,7,l,c,4,0,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,8,u,c,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,8,l,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,9,u,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,9,l,c,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,10,u,c,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
f,10,l,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,1,u,c,3,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,1,l,u,2,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,2,u,u,4,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,2,l,c,4,2,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,3,u,c,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,3,l,u,2,0,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,4,u,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,4,l,c,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,5,u,c,4,2,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,5,l,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,6,u,u,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,6,l,c,6,3,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,7,u,c,4,2,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,7,l,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,8,u,u,4,2,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,8,l,c,3,1,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,9,u,c,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,9,l,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,10,u,u,3,1,1,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
g,10,l,c,4,2,0,2008,4,0,0,0,0,0,1.3800000000000001,0.34500000000000003,0.6900000000000001,0.23,2.0700000000000003
b,1,u,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
b,1,l,c,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
b,2,u,c,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
b,2,l,c,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
b,3,u,u,2,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
b,3,l,u,3,0,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
b,4,u,c,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
b,4,l,c,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
c,1,u,c,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
c,1,l,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
c,2,u,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
c,2,l,c,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
c,3,u,c,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
c,3,l,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
c,5,u,c,3,0,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
c,5,l,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
d,1,u,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
d,1,l,c,4,0,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
d,2,u,c,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
d,2,l,c,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
d,3,u,u,2,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
d,3,l,u,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
d,4,u,c,3,0,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
d,4,l,c,1,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
d,5,u,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
d,5,l,u,3,0,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
e,1,u,c,4,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
e,1,l,u,4,1,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
e,2,u,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
e,2,l,c,4,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
e,3,u,c,4,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
e,3,l,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
e,4,u,u,1,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
e,4,l,c,4,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
e,5,u,c,4,0,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
e,5,l,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
f,1,u,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
f,1,l,c,4,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
f,2,u,c,3,0,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
f,2,l,c,4,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
f,3,u,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
f,3,l,u,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
f,4,u,c,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
f,4,l,c,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
f,5,u,u,2,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
f,5,l,u,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
g,1,u,c,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
g,1,l,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
g,2,u,u,4,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
g,2,l,c,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
g,3,u,c,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
g,3,l,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
g,4,u,u,3,0,1,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
g,4,l,c,3,1,0,2009,5,3.04,0.76,3.6100000000000003,1.2033333333333334,6.65,0,0,0,0,0
