Date,ppt (inches)
2005-01,5.88
2005-02,6.09
2005-03,0.87
2005-04,0.62
2005-05,0.27
2005-06,0.00
2005-07,0.00
2005-08,0.00
2005-09,0.20
2005-10,1.31
2005-11,0.00
2005-12,0.13
2006-01,0.56
2006-02,1.04
2006-03,2.46
2006-04,1.62
2006-05,0.27
2006-06,0.00
2006-07,0.05
2006-08,0.00
2006-09,0.00
2006-10,0.03
2006-11,0.05
2006-12,0.48
2007-01,0.43
2007-02,0.47
2007-03,0.11
2007-04,0.44
2007-05,0.00
2007-06,0.00
2007-07,0.00
2007-08,0.00
2007-09,0.17
2007-10,0.08
2007-11,0.00
2007-12,2.92
2008-01,2.56
2008-02,0.87
2008-03,0.09
2008-04,0.00
2008-05,0.62
2008-06,0.00
2008-07,0.00
2008-08,0.00
2008-09,0.00
2008-10,0.00
2008-11,1.17
2008-12,2.76
2009-01,0.05
2009-02,2.84
2009-03,0.05
2009-04,0.02
2009-05,0.00
2009-06,0.00
2009-07,0.00
2009-08,0.00
2009-09,0.00
2009-10,0.07
2009-11,0.24
2009-12,2.14
2010-01,5.56
2010-02,2.62
2010-03,0.42
2010-04,1.08
2010-05,0.02
2010-06,0.00
2010-07,0.09
2010-08,0.00
2010-09,0.07
2010-10,0.56
2010-11,0.79
2010-12,9.91
2011-01,0.47
2011-02,2.24
2011-03,1.64
2011-04,0.14
2011-05,0.35
2011-06,0.00
2011-07,0.11
2011-08,0.18
2011-09,0.00
2011-10,0.36
2011-11,1.22
2011-12,0.45
2012-01,0.54
2012-02,0.56
2012-03,1.11
2012-04,1.07
2012-05,0.05
2012-06,0.00
2012-07,0.12
2012-08,0.08
2012-09,0.03
2012-10,0.33
2012-11,0.35
2012-12,2.18
2013-01,0.81
2013-02,1.05
2013-03,0.63
2013-04,0.07
2013-05,0.22
2013-06,0.00
2013-07,0.08
2013-08,0.27
2013-09,0.00
2013-10,0.46
2013-11,1.28
2013-12,0.50
2014-01,0.00
2014-02,0.34
2014-03,1.67
2014-04,0.80
2014-05,0.00
2014-06,0.00
2014-07,0.00
2014-08,0.64
2014-09,0.11
2014-10,0.00
2014-11,0.27
2014-12,3.37
2015-01,0.60
2015-02,0.80
2015-03,0.21
2015-04,0.38
2015-05,0.76
2015-06,0.00
2015-07,1.55
2015-08,0.00
2015-09,1.39
2015-10,0.40
2015-11,0.24
2015-12,0.74
